text,annotation
প্রধানমন্ত্রী হক সাহেবের ক্ষতি হলে জাতির স্বার্থে কেনো কোনো বাম পক্ষ কে ছাড় দেয়ার উচিত না,2
"আমি বললাম, ‘দেন’",0
অসাধারণ তানজিন তিশা আমার বালো লাগার একজনকাতার থেকে,0
তার উপর ২ জন মেয়র,0
পলাশের কাজ এতো ভালো হবে কল্পনাও করি নাই তৌহিদের ফ্রেন্ড সাদ্দাম,0
এই মালাউন পবিত্র কুরআনে আগুন দিয়েছে ওর ফাঁসি চাই,2
আগে কুত্তাটাকে নির্বাচক থেকে অপসারণ করতে হবে । একটা ছাগলের বাচ্চা । এইসবকে কি করে নির্বাচক করে বুঝি না,1
এই রমজানে ও তুই লোচ্ছামি করতেছিস হারামি শুয়ার..তুই নিজে নিজের গু'য়ের গন্ধ শুকে মরে জা না,1
চোদনার পুত বদনার নাতি।। সালা জাত ফকিন্নি।। মাদারটোস্ট তোর লাইগা এই ঈদ এ পাঞ্জাবি পরুম না।। তোর আবালচোদা পিক দেইখা আমার ঈদ শেষ ।।। তোরে যদি পাইতাম তোর হোগার ভিতর লাঠি ডুকাইয়া দিতাম।। পান্দারপো,1
এখন আমার হাগা হাইগা দিবি নইলে তুই ঠাডা পইরা মরবি,2
ভেন্যুতে পৌঁছে দেখা গেছে ইভেন্ট শেষ,0
অসাধারণ ১টা নাটক😢ধন্যবাদ আরিয়ান ভাই,0
এসে দেখে মেয়ে হাসছে...,0
তাকে আমার কাছে পাঠাও আমি তাকে বুঝাব,0
"পরী তকমা লাগানো, হট সেক্স ভিডিও কবে আপলোড করেছে, আমি একবার লাগাতে চাই",1
এই জারজের বাচ্চা পত্রিকা সময়ের কন্ঠষ্যর যখন ভারত থেকে একটা বন্য হাতি আসলো তখন ঐটা কে নিয়ে কত মাতামাতি আর এখন কিছু অসহায় মানুষদের বেলায় বোলছে এরা অবৈধ অনুপ্রবেশকারী শালা। মালাউনের বাচ্চা।,2
যে কোনও একটা,0
